index,source,edge,target,edge-comments
1,7-11 year olds,whooping cough is shifting to from,adolescents,
2,7-11 year olds,reporting largest cases of,pertussis,
3,acellular pertussis vaccine,was,artificial vaccine,
4,acellular pertussis vaccine,used artifically created components of,bacteria,
5,acellular pertussis vaccine,still high,vaccine efficacy,Gambhir says
6,acellular pertussis vaccine,level of protection is lower than,whole-cell vaccine,
7,acellular pertussis vaccine,has lower coverage than,whole-cell vaccine,
8,acellular pertussis vaccine,for young children replaced the whole-virus,Tdap vaccine,in 1997
9,aluminum,in vaccines linked to,neurological disorders,
10,alzheimer's,since the 1980s has significantly,increased,
11,amendment,proposed by,committee members,
12,amendment,would have retained existing,religious exemption,
13,Andrew Wakefield,set off the movement,anti-vaccination,
14,Andrew Wakefield,was,discredited,
15,Andrew Wakefield,lost his,medical license,
16,Andrew Wakefield,is former British doctor and co-author of discredited 1998 paper that claimed,vaccine-autism link,MMR
17,anti-vaccination,voices boosted by,celebrities,
18,anti-vaccination,because you disagree with,government mandate,forcing you to do something
19,anti-vaccination,voices boosted by celebrities like,Jenny McCarthy,
20,anti-vaccination,because you have good faith,medical belief,that vaccination caused condition
21,anti-vaccination,label is horrible,misrepresentation,for families who actually have vaccine-injured children
22,anti-vaccination,movement set off by idea that MMR vaccine responsible for,vaccine-autism link,MMR
23,anti-vaccination,movement has associated,negative perception,said Renee Gentry
24,anti-vaccination,movement has made it difficult to have,open conversations,said Renee Gentry
25,anti-vaccination,some are for,the sake of being anti-vaccine,
26,anti-vaccination,movement has made it difficult to have open conversations about real,vaccine risk,said Renee Gentry
27,anti-vaccination,label is horrible misrepresentation for families who actually have,vaccine-injured children,said Drew Downing
28,anti-vaccination,voices have made it difficult for,vaccine-injured children,those who have seen the real but rare side effects of vaccines
29,anti-vaccination,movement began in late 1990s after publication of now retracted,Wakefield study,
30,anti-vaxx movement,is,anti-vaccination,
31,anti-vaxxers,are,anti-vaccination,
32,anti-vaxxers,are,crazy people,
33,artificial vaccine,is behind an increase in cases of deadly,disease,
34,artificial vaccine,believed to generate,immune response,
35,asthma,since the 1980s has significantly,increased,
36,autism,apparent increase of 60% of cases is due to changes in criteria for,diagnosis,"according to CBS News, recent study by Danish researchers"
37,autism,apparent increase of 60% of cases is due to inclusion of out-of-hospital,diagnoses,"according to CBS News, recent study by Danish researchers"
38,autism,since the 1980s has significantly,increased,
39,Barry Segal,created,Focus for Health,
40,Ben Allen,altered SB 277 to make it possible for multiple families to join in,home-school,
41,Ben Allen,altered SB 277 with,proposed restrictions,to make it possible for multiple families to join in home-schooling unvaccinated children
42,Ben Allen,thinks it won't reach everyone,SB 277,Ben Allen told education committee
43,Ben Allen,thinks it will increase safety,SB 277,Ben Allen told education committee
44,CDC,do not recommend any shift in protocols for,vaccination,
45,Chairwoman Carol Liu,voiced similar,concerns,to parents and children
46,Chairwoman Carol Liu,voted for,SB 277,even though she said it has a long way to go to fully address her concerns
47,children,worried SB 277 would deprive young people of right to an,education,
48,children,get five-dose series of,pertussis vaccine,in the U.S.
49,children,many testified against proposal for,SB 277,
50,children,worried,SB 277,would deprive young people of right to an education
51,children,exempted from,state-required vaccinations,
52,children,said they didn't believe in,vaccine safety,
53,Chris Christie,expected to run for 2016,president,
54,Chris Christie,is,Republican,
55,Chris Christie,called for some measure of choice on vaccines by parents,vaccine choice,NJ Governor
56,clusters,of people who refuse vaccine cannot account for,rise,in disease
57,Connie Leyva,concerned SB 277 will not go far enough to help,low-income family,who can't home-school
58,Connie Leyva,voted against,SB 277,
59,Connie Leyva,concerned SB 277 will not go far enough to help single working,parents,who can't home-school
60,debate,in media over,vaccination,says Gambhir
61,Dr. Anna Acosta,"study findings published online May 4 in journal Pediatrics, is an epidemiologist",CDC,
62,Dr. Anna Acosta,conducted research on,decreasing effectiveness,of pertussis booster
63,Dr. Paul Offit,is chief of infectious diseases at,Children's Hospital of Philadelphia,
64,Dr. Paul Offit,says we need an improved,pertussis vaccine,
65,Dr. Paul Offit,expressed little surprise at the notion of Tdap,waning effectiveness,
66,Drew Downing,is Phoenix,lawyer,who specializes in vaccine injury cases
67,Dwoskin Family Foundation,started by,Alfred and Lisa Claire Dwoskin,
68,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,cognitive disorders,
69,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,immune disorders,
70,Dwoskin Family Foundation,has funded efforts focused on finding in children and older adults the causes of,inflammatory disorders,
71,Dwoskin Family Foundation,"donated $950,000 towards some research looking at potential",vaccine-autism link,link between aluminum in vaccines and neurological disorders
72,Dwoskin Family Foundation,"has donated $263,000 to",National Vaccine Information Center,
73,Dwoskin Family Foundation,"donated $950,000 to",University of British Columbia,
74,Dwoskin Family Foundation,put money into a film that suggested,vaccines cause childhood illnesses,
75,elderly,have reduced,immunity,
76,fair balance,provides more,options,to parents concerned about vaccinating
77,findings,highlight the need to similar,research,
78,Focus for Health,"is dedicated to advocacy, education, investigation and research that explores epidemic of",autism,
79,Focus for Health,"is dedicated to advocacy, education, investigation and research that explores",chronic illness,
80,Focus for Health,"donated $171,000 to",Generation Rescue,
81,Gambhir study,suggests further doses,booster,
82,Gambhir study,suggests changes to pertussis,vaccination schedule,
83,Gambhir study,did not find drop in overall level in U.S.,pertussis vaccination,
84,Generation Rescue,has support from,Andrew Wakefield,according to CNN Money
85,Generation Rescue,headed by,Jenny McCarthy,
86,Generation Rescue,started by,Lisa and J.B. Handley,
87,high-dose flu vaccine,is appropriate for,age 65 and older,says CDC
88,high-dose flu vaccine,is more effective for those,age 85 and older,says new VA study
89,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like death of,elderly,from institutional and public health perspective
90,high-dose flu vaccine,studies yield mixed findings for,elderly,
91,high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like hospitalization of,elderly,from institutional and public health perspective
92,high-dose flu vaccine,triggered stronger,immune response,says Sanofi Pasteur
93,high-dose flu vaccine,provided better protection against lab-confirmed,influenza,
94,high-dose flu vaccine,the jury is still out on whether the high dose truly does a better job of preventing,major flu impacts,from institutional and public health perspective
95,high-dose flu vaccine,provided better protection against lab-confirmed flu illness than did the,standard vaccine,says Sanofi Pasteur
96,high-dose flu vaccine,data suggests does a better job of preventing symptomatic,influenza,
97,Immunization Action Coalition,works closely with,CDC,
98,immunization waivers,kindergarteners have because of parents',personal belief,
99,vaccination,reduced cases by 80%,pertussis,"since the pre-vaccine era, Dr. Anna Acosta said"
100,disease,will be less severe if sick person is,vaccinated,
101,increase in cases,could result in,infant mortality,infant deaths
102,infants,"should receive their own doses at 2, 4, 6 months of age",vaccines,
103,kindergarteners,"more than 13,500 have",immunization waivers,because of parents' personal beliefs
104,kindergarteners,have immunization waivers because of parental,personal belief,
105,maternal inoculation,will protect,infants,
106,measles outbreak,rekindled movement,anti-vaccination,
107,medical science,says the evidence is clear,measles vaccine is safe,
108,medical science,says the evidence is clear,rubella vaccination is safe,
109,medical science,says the evidence is clear of safe,pertussis vaccine,
110,mixed findings,studies yield for,high-dose flu vaccine,
111,MMR vaccine,many studies have refuted the connection between,autism,according to the Immunization Action Coalition
112,National Vaccine Information Center,"through billboards, the giant Jumbotron display in Times Square, and a film on Delta's DAL in-flight video network promotes",vaccine concerns,
113,negative perception,is associated with,anti-vaccination,said Renee Gentry
114,negative perception,associated with anti-vaccine movement has made it difficult to have,open conversations,about real risks associated with vaccines
115,open conversations,are difficult to have about,vaccine risk,said Renee Gentry
116,parents,worried SB 277 would deprive young people of right to an,education,
117,parents,if they decide against immunization can,home-school,
118,parents,can home-school if they decide against,immunization,
119,parents,more than 100 protested,SB 277,
120,parents,worried,SB 277,would deprive young people of right to an education
121,parents,many testified against proposal for,SB 277,
122,parents,said they didn't believe in,vaccine safety,
123,parents with vaccine-injured children,are afraid of being labeled as the,anti-vaxxers,
124,parents with vaccine-injured children,are afraid of being labeled as the,crazy people,
125,parents with vaccine-injured children,lie to,friends and family,
126,parents with vaccine-injured children,lie about,vaccine-injured children,
127,people,lose their minds if you say you have,vaccine allergy,said Renee Gentry
128,vaccine refusal,clusters may have rise in,disease,says Gambhir
129,personal belief exemption,is,parental choice,parents' option
130,pertussis,can impede,breathing,
131,pertussis,characterized by,severe coughing,
132,pertussis,interferes with,sleep,
133,pertussis,is highest since 1955 in,United States,highest since 1955
134,pertussis,in the past decade is on the rise in the,United States,
